Location ID,Sublocation ID,Station ID,Ice Off Date,Ice On Date,Number of Ice Free Days,Comments,Data Set ID,Update date
239,LA,LAK,1969-04-27,1969-11-16,203,,H03,1995-02-07
239,LA,LAK,1970-05-16,1970-11-15,183,,H03,1995-02-07
239,LA,LAK,1971-05-01,1971-11-10,193,,H03,1995-02-07
239,LA,LAK,1972-05-05,1972-11-14,193,,H03,1995-02-07
239,LA,LAK,1973-05-01,1973-11-18,201,,H03,1995-02-07
239,LA,LAK,1974-05-09,1974-11-15,190,,H03,1995-02-07
239,LA,LAK,1975-05-07,1975-11-23,200,,H03,1995-02-07
239,LA,LAK,1976-04-23,1976-11-08,199,,H03,1995-02-07
239,LA,LAK,1977-04-27,1977-11-22,209,,H03,1995-02-07
239,LA,LAK,1978-05-06,1978-11-19,197,,H03,1995-02-07
239,LA,LAK,1979-05-13,1979-11-11,182,,H03,1995-02-07
239,LA,LAK,1980-04-26,1980-11-21,209,,H03,1995-02-07
239,LA,LAK,1981-04-20,1981-11-20,214,,H03,1995-02-07
239,LA,LAK,1982-05-02,1982-11-21,203,,H03,1995-02-07
239,LA,LAK,1983-05-05,1983-12-01,210,,H03,1995-02-07
239,LA,LAK,1984-04-24,1984-11-15,205,Initally froze over completely Nov. 15 but re-opened 60-80% ice-free until Nov. 29,H03,2007-08-01
239,LA,LAK,1985-04-24,1985-11-21,211,,H03,1995-02-07
239,LA,LAK,1986-04-21,1986-11-11,204,,H03,1995-02-07
239,LA,LAK,1987-04-17,1987-11-21,218,,H03,1995-02-07
239,LA,LAK,1988-04-30,1988-11-23,207,,H03,1995-02-07
239,LA,LAK,1989-05-11,1989-11-17,190,,H03,1995-02-07
239,LA,LAK,1990-04-26,1990-11-19,207,,H03,1995-02-07
239,LA,LAK,1991-04-28,1991-11-04,190,,H03,1995-02-07
239,LA,LAK,1992-05-09,1992-11-15,190,,H03,1995-02-07
239,LA,LAK,1993-04-25,1993-11-06,195,,H03,1995-02-07
239,LA,LAK,1994-04-23,1994-11-23,214,,H03,1995-02-07
239,LA,LAK,1995-04-30,1995-11-08,192,,H03,1996-03-18
239,LA,LAK,1996-05-17,1996-11-14,181,,H03,2000-12-08
239,LA,LAK,1997-05-06,1997-11-16,194,,H03,2000-12-08
239,LA,LAK,1998-04-14,1998-11-20,220,Lake partly opened by 20-30% Nov. 22 to Dec. 10,H03,2006-12-15
239,LA,LAK,1999-04-29,1999-11-23,208,,H03,2000-12-08
239,LA,LAK,2000-04-12,2000-11-22,224,Lake was 90% ice covered on Nov. 22 and 100% on Dec. 1,H03,2006-12-15
239,LA,LAK,2001-04-30,2001-11-29,213,Lake was 90% ice covered on Nov. 29 and 100% on Dec. 5,H03,2006-12-15
239,LA,LAK,2002-05-12,2002-11-13,185,,H03,2003-02-03
239,LA,LAK,2003-04-24,2003-11-22,212,,H03,2004-03-18
239,LA,LAK,2004-04-30,2004-11-25,209,,H03,2004-12-08
239,LA,LAK,2005-04-17,2005-11-25,222,,H03,2006-02-01
239,LA,LAK,2006-04-18,2006-11-19,215,Lake was 80% ice covered on Nov. 19 and 100% on Nov. 21,H03,2006-12-15
239,LA,LAK,2007-04-28,2007-11-22,208,,H03,2008-04-09
239,LA,LAK,2008-05-07,2008-11-21,198,,H03,2008-12-01
239,LA,LAK,2009-05-04,2009-12-05,215,,H03,2009-12-14
239,LA,LAK,2010-04-10,2010-11-24,228,,H03,2010-11-25
239,LA,LAK,2011-05-02,2011-11-29,211,,H03,2012-01-13
