0,0,0,1969,11,12
1970,5,15,1970,11,7
1971,5,6,1971,11,6
1972,5,4,1972,11,2
1973,5,7,1973,11,5
1974,5,11,1974,11,13
1975,5,5,1975,11,13
1976,4,29,1976,11,3
1977,4,30,1977,11,11
1978,5,5,1978,11,11
1979,5,12,1979,11,7
1980,4,28,1980,11,8
1981,4,29,1981,11,19
1982,5,3,1982,11,10
1983,5,7,1983,11,12
1984,4,24,1984,10,30
1985,4,29,1985,11,8
1986,4,25,1986,11,2
1987,4,20,1987,11,8
1988,5,5,1988,10,28
1989,5,10,1989,11,2
1990,5,6,1990,11,5
1991,4,28,1991,10,31
1992,5,8,1992,11,2
1993,4,30,1993,10,29
1994,5,8,1994,11,19
1995,5,4,1995,10,31
1996,5,15,1996,10,31
1997,5,7,1997,11,3
1998,4,22,1998,11,9
1999,4,30,1999,11,20
2000,4,23,2000,11,14
2001,4,30,2001,11,25
2002,5,13,2002,10,23
2003,5,4,2003,11,1
2004,5,8,2004,11,21
2005,4,21,2005,11,16
2006,4,18,2006,10,31
2007,4,30,2007,11,16
2008,5,8,2008,11,9
2009,5,6,2009,11,26
